relevance,confidence,primary_category,specific_use,reasoning,hs10_code,description
Low,95,Not_DC_Related,Not applicable to data center operations,"This is cotton yarn used in textile manufacturing. Cotton yarn has no applications in AI data center construction or operations, which require specialized materials like copper wiring, fiber optics, semiconductors, and cooling/electrical components. This is clearly a textile industry product.",5206420000,"COTTON YRN (OTH THAN SEW THRD) 85% LESS BY WGT OF COT, NOT FOR RETAIL SALE: MULTI(FLDED)/CABLED YRN OF COMBED FIBER GT 14NM & LT 43NM PER SINGLE YARN"
Low,95,Not_DC_Related,Not applicable to data center construction or operations,"This is cotton yarn for textile manufacturing, which has no application in AI data center construction, electrical systems, cooling infrastructure, or computing equipment. Data centers use synthetic materials, metals, and semiconductors rather than natural textile fibers.",5206430000,"COTTON YARN (OTHER THAN SEW THRD) 85% LESS BY WGT OF COT, NOT FOR RETAIL SALE: MULTI(FLDED)/CABLED YRN OF COMBD FIBER GT 43NM & LT 52NM"
Low,95,Not_DC_Related,Not applicable - textile manufacturing product,"This is cotton yarn for textile manufacturing, which has no direct or indirect application in AI data center construction or operations. Data centers use specialized electronic, electrical, mechanical, and structural components, not textile yarns.",5206440000,COT YRN (OTHER THAN SEW THREAD) 85% LESS BY WT OF COT N/PUT UP FOR RET SALE MULTI (FOLDED)/CABLED YRN OF COMBED FIBER > 52NM & < 80NM PER SINGLE YRN
Low,95,Not_DC_Related,Not applicable - textile material not used in data center construction or operations,"This is cotton yarn used for textile manufacturing. Data centers do not use cotton yarn in their construction, electrical systems, cooling systems, compute hardware, or operations. This is clearly a textile industry product with no relevance to AI data center infrastructure.",5206450000,COTTON YARN (OTHER THAN SEW THREAD) 85% LESS BY WT OF COTTON NOT PUT UP FOR RET SALE MULTI (FOLDED)/CABLED YARN OF COMBED FIBERS >80NM PER SINGLE YARN
Low,95,Not_DC_Related,Not applicable - textile product for consumer/industrial sewing applications,"Cotton yarn is a textile material used for sewing, weaving, and fabric production. This has no application in AI data center construction or operations, which require specialized hardware, electrical, cooling, and building materials.",5207100000,COTTON YARN (OTHER THAN SEWING THREAD) PUT UP FOR RETAIL SALE CONTAINING 85% OR MORE BY WEIGHT OF COTTON
Low,95,Not_DC_Related,Not applicable to data center operations,"Cotton yarn is a textile product used for fabric manufacturing, clothing, and consumer goods. It has no application in AI data center construction, electrical systems, cooling infrastructure, or computing hardware. Data centers require specialized industrial materials like copper wire, fiber optic cables, and electronic components, not textile yarns.",5207900000,COTTON YARN (OTH THAN SEWING THREAD) FOR RETAIL SALE CONTAINING 85% LESS BY WEIGHT OF COTTON
Low,95,Not_DC_Related,Not applicable to data center construction or operations,"This is a textile product - woven cotton fabric used for clothing, home textiles, or general industrial applications. Cotton fabrics have no direct or indirect application in AI data center construction, electrical systems, cooling infrastructure, or computing hardware.",5208112020,WOV FABRICS OF COTTON CONTG 85% OR MORE BY WT OF COTTON WEIGHING NOT MORE THAN 100 G/M2 UNBLCHD PLAIN WEAVE OF NUMBER 42 OR LOWER POPLIN OR BROADCLOTH
Low,95,Not_DC_Related,Not applicable to data center operations,"This is cotton sheeting fabric, which is a textile product used for bedding, clothing, or general textile applications. It has no direct or indirect use in AI data center construction or operations, which require specialized technical equipment for computing, networking, cooling, electrical systems, and building infrastructure.",5208112040,WOVEN FABRIC OF COTTON CONTAINING 85% OR GT BY WEIGHT OF COTTON WEIGHING NOT MORE THAN 100 G/M2 UNBLEACHED PLAIN WEAVE OF NUMBER 42 OR LOWER SHEETING
Low,95,Not_DC_Related,Not applicable to data center operations,"This is cheesecloth, a lightweight cotton fabric used for culinary, medical, or general textile applications. It has no role in AI data center construction or operations, which require specialized technical materials and equipment.",5208112090,WOVEN FABRICS OF COTTON CONTAINING 85% OR MORE BY WT OF COTTON WEIGHING NOT MORE THAN 100G/M2 UNBLEACHED PLAIN WEAVE OF NUMBER 42 OR LOWER CHEESECLOTH
Low,95,Not_DC_Related,Not applicable to data center construction or operations,"This is unbleached cotton fabric (poplin/broadcloth) used primarily in textile manufacturing for clothing, home textiles, or other fabric applications. Cotton fabrics have no relevant application in AI data center construction, electrical systems, cooling infrastructure, or computing hardware.",5208114020,WOVEN FABRIC OF COT CONTAINING 85% OR GT BY WEIGHT OF COT WEIGHING NOT MORE THAN 100 G/M2 UNBLEACHED PLAIN WEAVE OF # BETWEEN 43-68 POPLIN OR BRDCLTH
Low,95,Not_DC_Related,Not applicable to data center operations,"This is woven cotton fabric (sheeting), which is a textile product used for bedding, clothing, or general fabric applications. Cotton fabrics have no direct or indirect application in AI data center construction or operations, which focus on computing hardware, electrical systems, cooling infrastructure, and building materials.",5208114040,WOVEN FABRICS OF COTTON CONTAINING 85% OR MORE BY WEIGHT OF COTTON WEIGHING NOT MORE THAN 100 G/M2 UNBLEACHED PLAIN WEAVE OF NUMBERS 43 TO 68 SHEETING
Low,95,Not_DC_Related,Not applicable to data center construction or operations,"This is a textile product - woven cotton fabric used for printcloth. Textiles and fabrics are not relevant to AI data center construction, operations, or supply chains. Data centers require technical infrastructure components, not textile materials.",5208114060,WOVEN FABRICS OF COTTON CONTAINING 85% OR MORE BY WEIGHT OF COTTON WEIGHING NOT MORE THAN 100G/M2 UNBLEACHED PLAIN WEAVE OF NUMBERS 43 - 68 PRINTCLOTH
Low,95,Not_DC_Related,No application in data center construction or operations,"This is cotton cheesecloth fabric, a textile product used for food preparation, medical applications, or general textile purposes. It has no relevance to AI data center construction, electrical systems, cooling infrastructure, or computing hardware.",5208114090,WOVEN FABRIC OF COTTON CONTAINING 85% OR GT BY WEIGHT OF COTTON WEIGHING NOT MORE THAN 100G/M2 UNBLEACHED PLAIN WEAVE NUMBERS BETWEEN 43-68 CHEESECLTH
Low,95,Not_DC_Related,Not applicable - office supply for typewriter ribbons,"This is a specialized cotton fabric used for manufacturing typewriter ribbons, which are obsolete office supplies with no application in modern AI data center construction or operations. Data centers use digital systems and have no need for typewriter-related materials.",5208116000,"UNBLEACHED TYPEWRITER RIBBON FABRIC, GREATER THAN OR EQUAL TO 85 PERCENT BY WEIGHT OF COTTON, WEIGHING LESS THAN OR EQUAL TO 100 G/M2, #69 OR HIGHER"
Low,95,Not_DC_Related,Not applicable to data center operations,"This is unbleached cotton fabric (poplin/broadcloth) used for textile/apparel manufacturing. Cotton fabrics have no direct or indirect application in AI data center construction or operations, which require specialized technical materials for compute hardware, cooling systems, electrical infrastructure, and building components.",5208118020,WOVEN FABRIC OF COT CONTAINING 85% OR GT BY WEIGHT OF COTTON WEIGHING NOT MORE THAN 100G/M2 UNBLCH PLAIN WEAVE # GT 69 OR HIGHER OTHER POPLN/BRDCLTH
Low,95,Not_DC_Related,Not applicable - textile fabrics not used in data center construction or operations,"This code covers lightweight cotton textiles including cheesecloth, lawns, voiles, and batistes. These are fabric materials used primarily in clothing, household textiles, or general industrial textile applications. Data centers do not use these types of cotton fabrics in their construction or operations - they rely on specialized materials like metal structures, electronic components, and engineered cooling/electrical systems.",5208118090,"UNBLEACHED CHEESECLOTH; LAWNS, VOILES, BATISTES, GREATER THAN OR EQUAL TO 85 PERCENT BY WEIGHT OF COTTON, LESS THAN OR EQUAL TO 100 G/M2,#69 OR HIGHER"
Low,95,Not_DC_Related,Not applicable - textile fabric for clothing/general use,"This is a woven cotton fabric (poplin/broadcloth) used primarily in textile and clothing manufacturing. Cotton fabrics have no direct application in AI data center construction or operations, which require specialized technical materials like metals, semiconductors, cooling fluids, and industrial equipment.",5208124020,WOV FABRIC OF COTTON CONTAINING 85% OR MORE BY WT OF COTTON WEIGHING MORE THAN 100 G/M2 UNBLCH PLAIN WEAVE OF NUMBER 42 OR LOWER; POPLIN OR BROADCLOTH
Low,95,Not_DC_Related,Not applicable to data center operations,"This is unbleached cotton fabric/sheeting used for textile applications. Cotton fabrics are not used in AI data center construction or operations, which require specialized materials like fire-resistant cables, metal components, semiconductors, and industrial-grade equipment.",5208124040,"WOVEN FABRIC OF COTTON CONTAINING 85% OR MORE BY WT OF COTTON WEIGHING MORE THAN 100 G/M2 UNBLEACHED PLAIN WEAVE OF NUMBER 42 OR LOWER, SHEETING"
Low,95,Not_DC_Related,Not applicable to data center construction or operations,"This is cotton textile fabric/cheesecloth, which is used for general textile applications, clothing, or industrial filtration. It has no direct application in AI data center construction, electrical systems, cooling infrastructure, or compute hardware.",5208124090,WOVEN FABRIC OF COTTON CONTAINING 85% OR GT BY WEIGHT OF COTTON WEIGHING MORE THAN 100 G/M2 UNBLEACHED PLAIN WEAVE OF NUMBER 42 OR LOWER CHEESECLOTH
Low,95,Not_DC_Related,Not applicable - textile fabric for apparel/general use,"This is a woven cotton fabric (poplin/broadcloth) primarily used for clothing, bedding, or general textile applications. It has no direct application in AI data center construction or operations, which require specialized technical materials like semiconductors, cooling systems, electrical components, and structural materials.",5208126020,WOVEN FABRICS OF COTTON CONTG 85% OR MORE BY WT OF COTTON WEIGHING MORE THAN 100 G/M2 UNBLEACHED PLAIN WEAVE OF NUMBERS 43 TO 68 POPLIN OR BROADCLOTH
